age,bmi,sleep_hours,heart_rate,activity_level,caffeine_mg,work_hours,meditation_min,screen_time_hours,social_support,stress_score,stress_level
50,16.2,4.4,58.7,27,74.5,4.9,2.6,1.7,5,46.2,Medium
38,21.8,6.9,84.6,5,133.6,9.3,0.2,7.1,5,64.2,Medium
49,24.4,8.1,64.7,26,140.8,5.6,7.3,9.4,2,38.4,Medium
40,28.8,6.5,59.4,11,66.6,9,9.1,7,4,42,Medium
50,25.1,6.9,58.1,61,0,7.1,1.1,8.4,2,27.2,Low
20,22.3,7.8,66.8,51,219.5,6.7,1.1,7.4,3,40.4,Medium
35,27.8,6.4,53.2,47,75.6,8.4,0.2,8,1,38.4,Medium
42,24.2,6.6,69,66,117.9,5.1,17.6,7.9,5,28.8,Low
59,24.5,5.2,56.4,45,276.8,7.9,8.2,7.9,3,49.9,Medium
48,24.9,7,81.5,96,195.8,9.6,2.2,6.6,4,47.4,Medium
20,27.3,6.5,72.3,73,289.2,10.1,3.3,2.6,4,56.1,Medium
57,23.8,7.7,90.6,94,159.6,7.1,1.7,3.8,2,46,Medium
63,27.7,7.8,69.1,14,194.4,7.4,4.5,3.9,0,54.3,Medium
41,24.7,8.2,40,70,130.7,5,6.3,0.9,5,4.4,Low
49,20.7,6.2,82.4,35,82.1,6.5,3,5.1,5,50.5,Medium
64,24.9,3.7,75,13,194.1,4.9,10.3,8.8,0,79.3,High
39,20.9,8.1,74.5,77,115.1,8.9,3.6,3.1,4,32.8,Low
40,25.2,7.6,60.1,2,201.6,9.7,0.8,7.5,4,52,Medium
19,28.3,6,71.2,66,104.4,7.1,4.9,7.1,5,37.7,Medium
44,20.7,7.8,69.7,85,136,5.9,3.1,6.5,1,33.7,Medium
59,26.5,4.8,68.4,18,142.4,8.6,13.7,8.4,5,54.7,Medium
19,21.7,8.5,51,98,236.2,6.3,2.5,5.9,4,13.4,Low
43,25.8,6.5,98.1,75,116.1,9.3,2.6,9,4,60.2,Medium
34,28.4,5.8,80.1,53,245,11.9,5.3,5.6,1,80.9,High
57,16.5,6.1,70,68,77.6,6.2,3.7,6.7,3,39.3,Medium
50,20.5,6.7,80.9,9,171.6,6.5,2.3,5.7,3,62.3,Medium
26,23.5,7,75.7,32,95,5.1,22.9,4.2,1,44.5,Medium
60,26.3,7.1,63.9,12,239.3,8.3,1.8,3.3,1,57.7,Medium
56,24.3,6.4,82.1,98,84.5,8.2,1.6,7.2,3,41.1,Medium
46,24.8,7.3,78.4,50,92.7,7.5,10,8.7,3,40.8,Medium
59,33.2,7,67.7,31,49.5,8,0,6.5,3,40.8,Medium
43,20.2,6,75.5,74,158.2,5.9,1.1,7,3,47.7,Medium
52,29.5,5.8,69.8,23,197.3,4.7,4.5,2.9,5,52.9,Medium
42,23.6,7.9,71.4,34,188.7,6.5,0.9,6.8,5,40.6,Medium
41,27.2,7.8,77.1,82,138.5,4.2,21.3,1.8,2,30.5,Low
30,33.5,7.1,87.9,69,97.2,6.2,3.1,3.6,1,51.3,Medium
24,27.8,8.4,64.9,39,127.7,8.6,4.5,8.7,0,41.2,Medium
53,26.5,4.1,74.4,53,130.8,8.1,0.9,6,2,63.6,Medium
62,31.4,6.2,93.4,43,170.2,4.5,1.7,6.2,0,72.8,High
37,29.5,5.3,70.5,61,164.7,10.1,4.8,7.1,0,65.7,Medium
18,21.8,10,70.4,98,289.2,7.6,4,7.6,4,20.5,Low
25,26.2,8.1,90.7,67,153.2,5.4,7.7,5.5,1,49.5,Medium
63,18.1,6.9,72.9,32,178.9,7.3,1.6,6.6,5,46.8,Medium
33,22.8,8.2,54.2,76,155.7,6.8,5.3,5.9,2,21.1,Low
31,26.3,8.7,62.7,55,123.9,6.3,1.7,2.9,1,30.6,Low
29,22.6,8.7,75.7,35,178.3,9.6,4.4,5.3,3,48.1,Medium
40,26.1,8.4,74.8,53,116.3,5.8,4.6,6.8,1,39.3,Medium
32,24.9,6.6,71.6,18,145.3,8.4,0.6,5.2,0,62.2,Medium
45,27.1,6.2,92.7,42,242.7,5.3,4,5.2,5,64.5,Medium
51,23.3,5.6,63,11,111.2,7.9,0.1,7.6,3,53.4,Medium
19,21.2,7.8,67.4,10,181,8.5,3.5,6.3,1,53.5,Medium
49,30.9,6.8,53.3,69,0,8.5,6,6.7,1,25.3,Low
40,23,6.4,80.6,11,135.2,8.2,0.4,2.8,5,58.4,Medium
39,27.6,6.3,63.3,90,110.6,7.5,14,6.9,0,33.5,Medium
42,30.7,9.2,83.4,40,159.6,5.9,3.1,3.8,3,42,Medium
39,25.7,8.4,79.9,24,131.1,5.9,13.9,6,0,48.9,Medium
39,21.6,9.7,91.8,2,161.3,8.6,0.6,3.9,5,52.5,Medium
59,24.3,7.8,76.1,2,119.7,5.5,15,7.9,1,51.3,Medium
23,29.1,7.1,68.5,83,180.9,5,0.6,9.7,2,38.5,Medium
32,25.8,7,74.9,27,12.8,10.9,3.1,5.7,2,57.8,Medium
60,20.2,5.5,60,22,158.9,7.5,13.9,5.7,4,44.8,Medium
54,27.4,5.1,74.4,47,75,9.3,1.3,8.1,2,61.1,Medium
50,28.1,7.8,69.5,66,243.4,9.7,0.2,7.1,5,43.2,Medium
25,23.6,5.6,68.6,41,73.7,8.1,7.9,5.9,5,41.4,Medium
61,27.4,7.3,62.2,87,229.6,7.2,4.5,6.7,5,26.8,Low
61,26,8.7,73.5,39,149.1,7.3,3.6,10.1,3,37.6,Medium
22,24.2,6,77.8,5,3.7,11.2,0.2,4.7,4,67.6,High
56,19.8,10,50.9,19,79.9,6.9,5.3,4.8,3,15.1,Low
21,29.3,5.5,65.3,10,217.8,8.4,0.9,7.6,2,65.4,Medium
23,28,8.5,73.2,95,213.3,9.4,13.4,10.2,2,34.1,Medium
62,27.3,7.6,47.7,26,46.1,8.5,5.8,6.4,1,29.3,Low
49,31.2,8.8,90.5,20,275,10.2,6.1,2.6,3,68.2,High
47,28.8,5.3,64.8,12,148,7.2,1.3,6.8,0,64.4,Medium
64,27.7,10,62,85,220.8,9.3,10.6,5,1,23.6,Low
52,16.1,6.7,63.5,34,53.1,4.4,3.9,7,3,37.7,Medium
57,29.8,8,73.8,46,113.5,10.7,9.7,3.3,5,42.8,Medium
33,25.3,9.2,62.6,85,183.3,10.2,1.6,3,4,26.8,Low
30,26.2,6.1,80.4,27,124.9,7.4,7,5.4,3,56.9,Medium
59,26.3,8.2,74.6,20,0,8.9,4.3,9.3,4,38.4,Medium
47,28.1,5.8,63.2,17,134.7,9.8,0.2,3.3,4,57.7,Medium
36,29.5,9.1,67,30,0,5.9,2.6,5.4,2,27.3,Low
34,27.5,5.9,56.1,59,64.3,7.7,1,3.1,0,40.1,Medium
36,26.9,7.1,58.4,36,37.8,5.4,2.2,6.6,3,31.4,Low
45,25.9,7.5,74.3,20,240.6,10.3,2.4,6.4,0,71.2,High
43,11.6,8.2,55,13,265.7,9.6,3.2,3.2,4,45,Medium
54,23.8,10,87.4,88,177.3,7.4,4.6,8.6,2,32.2,Low
43,21.2,6.3,68.8,90,131.6,7.2,4.2,2.2,0,42,Medium
40,29.8,8.7,58.9,59,152.3,7.7,0.2,9.2,1,29.3,Low
26,27.5,10,59.8,22,240.5,6.2,6.9,8.7,4,26.6,Low
29,23.2,7.2,79.6,94,0,7.7,14.9,6.6,1,29.7,Low
18,23.6,6.2,68.5,28,64,5.9,2.1,7.8,5,42.1,Medium
18,23.4,4.4,79.1,46,230.3,9.8,1,5.6,0,83.8,High
64,23.4,9.8,65.5,29,247,10.3,3.9,2.9,0,50.1,Medium
51,19.2,6.6,61.5,89,197.2,9.9,6.1,6.5,0,46.6,Medium
49,18.4,5.5,77.9,83,66.4,5.6,5.7,2.9,5,38.8,Medium
42,25.1,5,61.5,37,229.2,7.6,4.7,6,3,54.8,Medium
57,29.3,5.5,77,82,258.9,9.2,0.8,3.5,4,58.3,Medium
62,22.8,8.4,66.8,26,207.5,9.5,9.1,8,4,43,Medium
18,26.2,8.6,79.4,88,0,4.3,2.8,6.8,4,20.9,Low
33,27.9,8,89.6,86,160,9.5,1.3,7.4,3,49.6,Medium
56,21,7.2,64.1,92,196.8,5.5,0.5,6.7,0,38.4,Medium
22,24.9,5.1,64.5,14,108.8,7.7,2.7,9.8,0,62.2,Medium
39,22.3,5.9,75.3,58,164.9,10.5,4.8,8,5,56.8,Medium
46,31.4,5.3,62.4,2,108.9,10.2,5.5,9.4,1,68.3,High
20,31.2,7.9,89.3,9,81.1,10.7,16.4,4.2,3,62.3,Medium
29,21,5.4,82.5,78,270.8,5.9,0.8,4.9,2,63.6,Medium
43,26.5,5.9,60.8,79,167.2,6.4,21.3,1.2,3,30.2,Low
33,29.3,6.7,56.3,16,61.5,6.9,5.3,5.2,5,32.4,Low
54,28.4,4.5,60.1,82,39.9,7.7,3,5.9,1,41.1,Medium
39,25.3,7.1,58.7,10,81.1,8.4,11,6.9,1,42.7,Medium
46,30.2,6.8,80.6,47,81.6,10.6,5.9,4.9,1,62.1,Medium
31,21.4,8.8,83.7,4,161.7,6.1,2.1,7.5,0,59.8,Medium
45,23.8,5.8,77.3,68,188.8,6.7,10.8,7.3,2,51.7,Medium
22,21.5,5.1,65.9,63,188.8,10.8,5.5,5.1,1,65.1,Medium
64,28.1,6.4,75,13,90,5.7,6,4.1,4,50.9,Medium
47,22.7,5.4,60.2,49,223.7,9.5,11.3,6.1,0,59.3,Medium
63,24.3,7.1,80.6,25,248.2,7.8,3,6.2,2,62.6,Medium
22,27.5,4.2,75.6,71,129.2,8.8,5.3,4.8,4,56.5,Medium
29,27.8,6.1,79.1,68,67.4,6.4,6.8,5.5,2,45.9,Medium
33,21.4,5.6,60.9,6,158,9.4,3,3.2,5,56.1,Medium
43,29.2,7.9,70.4,15,322.8,6.7,0.4,7.4,2,58.6,Medium
43,26.8,5.8,78.2,54,65.3,5.2,7.4,7.4,4,45.3,Medium
38,20.7,4.4,82.3,77,107.9,9,0.2,6.1,3,62.3,Medium
56,19.7,6.7,61.3,100,154.6,3,6.3,7.5,2,28.5,Low
53,24.9,7.5,77.8,55,193.3,6.9,12.1,6.3,3,43,Medium
50,28.4,6.6,64.6,3,0,8.6,2.1,9.2,2,48.5,Medium
47,28.5,6.1,92.9,99,254.5,9.5,0.5,3.4,5,60.7,Medium
54,26.4,6,66.6,47,253.4,10.5,1.3,6.4,4,61.3,Medium
40,25.2,7.2,76.5,16,116,11.6,4.1,7.8,2,68.6,High
27,27,5.7,72.7,35,366.5,10.9,14.3,9,1,79.7,High
22,21.6,6.5,94.4,69,248.2,8.4,3.6,7.6,5,60.1,Medium
53,31.7,8.1,75.6,79,244,10.3,0.6,3.9,1,54,Medium
51,31.7,5,68.2,92,245,8.4,4.9,2.7,5,45,Medium
48,26.7,6.9,77.2,99,242.7,9.4,6.6,5.7,5,42.3,Medium
27,25.8,4.3,76.6,37,148.2,6.8,2.5,6.7,2,67.5,High
36,23.4,7.3,67.6,100,140.3,8.9,6.4,7.9,4,27.8,Low
49,27.1,5.5,60.1,61,74.5,7.1,2,3.8,4,35.8,Medium
18,22.2,8.5,63.3,47,103.8,7.7,7.8,7.2,0,32.7,Low
22,16.1,4.8,74.4,9,125.1,8.9,2.1,0.6,4,67.6,High
62,14.1,7.7,47.1,35,155.2,12.2,1.5,4.5,3,45.2,Medium
21,21.8,8.8,65.9,28,277.9,8.8,10.6,7.7,2,44.6,Medium
33,25.6,5.5,80.2,77,0,8,4,3.6,1,47.5,Medium
41,26.3,5.7,69.7,3,257.6,6.3,1.7,3.8,4,64.5,Medium
33,23.1,5.6,90.8,43,69,9.8,13.7,4.9,1,69.6,High
19,25.6,6.3,52.9,55,141.6,7.3,5.9,6.4,0,39.1,Medium
45,23.9,7.8,59.8,41,92,8.7,1.2,3.8,2,35.9,Medium
49,21,6.1,44.9,99,298.3,9.4,4.8,5.9,4,31.1,Low
44,24.8,5.3,89.8,12,110,10.5,10.2,5.1,1,84.1,High
37,28.3,4,62.2,45,191.7,9.7,6,8.3,5,59.2,Medium
41,21.2,9.4,48.2,81,195.9,5.6,1.4,5,4,8.4,Low
29,21.2,9.5,62,32,57.2,4.6,5.2,6.1,0,27.9,Low
52,20.7,7.8,53.9,20,142.3,9.4,4.8,6.3,5,34.3,Medium
50,17.3,5.8,60.1,79,246.3,8.2,8.6,5.2,1,44.8,Medium
50,23.1,8.1,69.5,78,80.1,8.8,1,7.5,1,34.5,Medium
60,27.9,8.4,79.5,56,216.3,11.4,6,8,2,59,Medium
54,25.7,6.6,68.6,68,123.5,6.8,0.1,5,2,41.7,Medium
29,24.3,7.1,69.9,69,243.1,10.6,6,6.6,1,57.3,Medium
20,25.5,8.8,64.4,66,289.8,6.8,16.1,4.1,5,23.6,Low
18,23,4.5,53.9,47,0,11.1,1,7.1,2,54.1,Medium
50,17.2,8.5,47.6,75,42.9,9.5,1.9,6.5,1,18.7,Low
57,28.1,6.5,67.9,99,114.9,5,4.4,5.3,5,26,Low
27,29.3,5.3,73,32,267.2,7.2,6.6,6.7,3,63.4,Medium
60,22.1,5.5,64.2,35,192.6,11.8,2.1,7.2,4,67,High
61,24.4,5.7,51.6,32,50.4,11.6,5.5,8.5,3,50.2,Medium
46,24.1,5.2,71.6,30,204.3,9.2,11.5,6.8,3,63.2,Medium
30,26.4,9.7,87,20,76.9,8.7,6.5,7.8,4,40.9,Medium
29,31.8,7.7,72.3,26,219.6,8.5,6.2,9.8,1,54.9,Medium
48,29.6,8.6,66.5,90,193.1,8.9,2.4,3.9,1,33.2,Medium
63,23.5,7.8,68.6,71,76.6,7.7,12.1,8.3,2,27.2,Low
19,27.2,7.1,60.1,100,144.7,10.4,1.6,4.2,0,41.2,Medium
52,30,7.1,60.8,61,248,9.2,1.1,4.6,1,49.1,Medium
40,26.6,6.4,75.3,95,0,6.1,2.3,6,4,29.1,Low
34,25,6.5,79.9,25,174.1,9.3,5.3,4.7,0,70.4,High
43,26.8,4.9,69.4,65,61.4,8.3,9.9,4.4,4,42.1,Medium
25,22.2,8.6,48.9,11,148.7,7.4,0.7,5.9,4,26.7,Low
46,22.8,4.3,72.4,21,186.6,11.8,8.4,5.3,4,79.7,High
43,20.7,5.4,88.5,16,311.1,8.2,8.4,4.7,0,86.3,High
27,26.2,10,68.2,6,147.9,4.1,4.4,4.1,3,33.8,Medium
43,24.5,7.2,68,67,267.2,7.5,7.1,8.9,5,36.9,Medium
51,21.7,7.3,59.6,36,82.8,10,1,3.6,4,40.2,Medium
58,24.3,8,74.5,37,110.4,6.1,0.9,5.7,2,43.8,Medium
24,26.9,4.7,64.2,95,197,9.9,9.9,8.2,1,54.1,Medium
21,32.7,4.9,84.1,10,166.1,6,3.4,7.6,5,69.1,High
62,29,6.3,65.4,0,123.7,10.7,1.4,6.5,1,69.6,High
28,15.9,5.6,68.9,24,121.6,6.9,5.8,4.8,1,57.4,Medium
46,26,6.9,70,41,256.7,7.3,11.1,6,0,54.9,Medium
53,30.7,7.7,88.4,51,126.9,7.1,5,3.8,2,51.1,Medium
42,19.6,9.1,71.4,23,68.3,9.2,2.1,5.4,2,40.9,Medium
38,27.2,8.2,85,52,81.6,11.7,3.3,5.4,5,52.7,Medium
53,24.1,5.5,70.6,55,203.6,8,7,5.6,2,54.1,Medium
27,29.6,6.4,70.6,62,330.5,8,0.3,4.4,2,57.1,Medium
54,26.6,6,70.4,80,108.1,6.9,1.2,2.6,2,42.3,Medium
26,21.5,5.5,60.5,7,321.9,4.7,3.1,8.5,5,59.4,Medium
41,24.2,5.1,74.9,58,149.1,7.1,4.6,8.1,3,54.1,Medium
52,24.4,9.5,62.8,44,127.6,5.5,2.1,7.7,2,26.4,Low
52,24.5,7,70.9,26,77.2,4.2,1.8,6.8,2,47.2,Medium
53,29.5,6.7,80.8,51,134.2,7.8,0.2,6.3,0,58.2,Medium
35,21.6,7.7,84.1,17,89.5,6.9,0.2,4.6,0,60,Medium
56,29,7.8,73.6,90,83.1,10.8,1.6,4.8,2,42.4,Medium
49,23.8,8.7,78,85,17.8,6.3,3.8,8.9,3,22.9,Low
41,25.9,5.9,77.9,15,291.3,9.3,4.1,9.4,2,77.2,High
40,25.3,7.6,66.3,65,235.2,9.3,3.4,5.6,2,45.7,Medium
49,24.9,5.6,91,4,171.7,10.7,2.6,6,2,89.9,High
54,24.9,6.7,64.2,81,138.5,7.6,1.5,7.5,4,31.1,Low
29,30.8,7.1,73.8,2,149.6,10.6,2.6,6.2,3,66.5,High
30,28.4,7.2,86.2,90,87.8,9.1,0.7,6.3,1,49.9,Medium
40,23.5,7.2,83.5,80,59.3,10.3,0.6,5.9,2,51.6,Medium
42,31.3,8.2,73.3,79,207.4,12.8,1.8,4.1,1,60,Medium
52,26.1,6.1,80.5,69,129,7.8,26.9,5.3,3,40.4,Medium
58,26.4,7.3,68.5,6,176.1,8.3,2,5.7,2,55.1,Medium
47,21.7,5.9,63.5,49,17,7.3,13.8,1,1,37.6,Medium
34,23,10,56.9,13,124.8,11.1,2.5,6.2,5,32.6,Low
37,22.2,5.6,75.8,37,57.7,13.2,2.9,10.6,1,78.5,High
42,25.3,5.9,78.4,78,188.7,9.5,8,5.1,3,54.8,Medium
39,27.6,8.3,65.6,46,229.6,4.8,0.5,6.1,2,40.9,Medium
30,26.5,6.4,73.4,32,266.8,6.2,1,4.3,4,57.4,Medium
36,31.4,8.3,99.7,42,99.7,10.3,18.2,3.8,3,58.3,Medium
53,21.4,7.2,79.7,90,59.8,5.7,3.5,5.4,4,31.6,Low
29,25.5,6.4,61.2,28,116.5,6.8,0.2,7.3,2,46.4,Medium
58,19.9,5.9,77.5,56,94.1,6.7,0.2,5.5,1,54.9,Medium
36,21.3,5.8,59.2,100,184.5,7.8,11.9,5.3,5,25,Low
29,30.1,6.4,43.6,4,37.8,8.5,10.3,7,5,27.1,Low
26,23.1,6.7,68.8,92,9.6,4.2,3.1,6.4,3,26.2,Low
24,21.8,5.8,84,95,122.3,4.9,0.9,6.6,3,47.9,Medium
45,16.5,6.8,79.7,59,208.1,5,8.9,8.4,3,49.3,Medium
31,21.7,5.4,72.1,69,67.8,5.2,2,8.1,0,51.2,Medium
48,24.2,8.1,64.2,1,217.9,8,2.7,9,5,43,Medium
36,19.6,8.4,72.2,69,179.2,8.4,5.7,3.6,5,29.8,Low
64,23.9,5.9,66.8,42,273.7,10,2.2,7.7,2,66.3,High
33,30.1,5.9,67.4,3,85.8,9.1,5,9.3,0,64.6,Medium
22,22.2,7.3,79.2,55,21.5,6.8,10.8,2.7,3,35.9,Medium
52,21.2,8.9,62.8,92,197.9,8.5,8,6,3,20.6,Low
29,20.5,9.2,79,58,172.4,10.1,2.4,4.9,4,42.6,Medium
42,20.4,4.9,61.8,88,166.2,7.5,1.7,6,0,48.5,Medium
38,27.1,8.5,91.6,8,66.2,7.4,1.7,8.3,1,58.4,Medium
53,25.2,6.9,53.7,2,212,6.1,2.1,3.2,5,42.3,Medium
40,28.8,6.9,62.3,89,99.3,6.4,3.4,6.5,2,28.5,Low
33,33.1,7.8,72.5,47,166.2,9.4,2.7,4.9,1,51.9,Medium
56,17.7,6.3,46.5,42,113.2,8,0.7,8.4,1,35.8,Medium
62,26.5,8.6,45,90,178.4,11.9,0.9,6.8,2,28.9,Low
59,20.5,9.1,48,99,54.4,6.6,2.1,5.7,3,0,Low
56,28.2,9.2,68.7,95,190,9.5,4.1,4.6,5,23,Low
31,23.9,4.2,66.8,0,202.6,8.8,4.5,11.3,4,70.9,High
48,25.1,6.7,73.4,56,159.3,7.8,3.3,6.6,3,45.7,Medium
22,19.9,4.1,65.5,52,281.5,7.1,6.7,3.2,3,61.4,Medium
52,23.3,5.9,72.1,15,166.6,9.2,6.7,4.4,0,69.4,High
40,25.4,3.4,65.7,50,223.5,9.1,2.8,6.8,1,73.2,High
46,30.4,7.7,79.8,74,157.4,8.4,0.7,4.5,1,47.4,Medium
60,21.8,7.3,74.3,89,216.4,8.9,3.8,4.8,5,37.8,Medium
28,22.8,6.4,65.6,54,27.3,8.1,2.4,8,1,40.4,Medium
35,28.8,5.8,77.2,0,152.6,4.7,0.7,7.8,4,64.2,Medium
64,21.6,7.5,66.4,89,59.8,8.2,20,4.9,4,15.8,Low
29,29.6,5.5,57.1,27,161.2,7.5,2.3,8.3,4,46.2,Medium
26,25,5.4,79,52,180.7,11.9,4.9,4.6,2,76.9,High
27,26.2,5.2,61.5,57,214.6,9.3,3.4,9.4,5,49.9,Medium
61,26.5,6.7,79.7,72,189.2,8.4,0.8,7.1,4,48.4,Medium
34,22.5,6.1,72,59,123.1,8.9,0.3,6.6,0,57,Medium
55,26.6,6.4,70,58,89.7,6,4.9,5.2,0,46.8,Medium
24,21.9,7.8,49.7,21,0,6.8,1.4,4.8,3,23.2,Low
63,23,8.4,84.4,7,155.5,7.3,1.4,1.3,3,55,Medium
30,27.2,9.2,67.5,48,241,8.8,15.7,5.4,5,28.3,Low
57,26.2,7.1,76.9,41,158.7,7.1,3.1,6,3,49.2,Medium
59,24.7,7.5,68.7,26,143.2,7,0.1,2.3,3,45,Medium
26,20,7.3,64.8,38,161.4,5.9,2.1,7.6,0,47.8,Medium
44,21,4.5,69.9,82,119,8.1,4.4,5.7,3,47.6,Medium
19,26.1,6.4,70.8,24,165.6,8.3,2,8.4,0,61.6,Medium
22,27.9,6.5,68.8,37,117.6,8.9,0.1,4.6,4,48.3,Medium
46,20.6,6.2,67.2,84,78.1,6.6,2.9,8.5,4,31.4,Low
54,21.6,6.9,72.6,23,144,8.7,0.6,5.1,5,50,Medium
55,25.5,6.7,75.2,23,142.2,5.9,4.8,5.9,2,55,Medium
36,25.5,5.5,70.7,59,300,7.6,4.8,6.4,3,57.2,Medium
25,18.5,6.8,73,82,85.5,8.6,0.2,5.9,4,36.3,Medium
62,25.6,6,66.1,49,137.2,7.5,1.7,6.6,4,43.4,Medium
18,22.6,3.1,91,65,129.5,4.9,2.7,2.2,5,69.7,High
39,31.6,4.9,88.2,13,114.2,5.1,4,5.7,1,77.1,High
34,26,7.1,78.1,52,191,8.4,1.8,5.8,1,56,Medium
24,26.7,8.6,51.4,31,329,9.2,1.7,2,5,36.5,Medium
42,26.8,3.4,77,95,124.3,8.7,20.4,7.3,0,59.2,Medium
62,20.1,5.7,64.2,91,191.3,9.2,0.2,4.2,2,47.5,Medium
21,32.8,7.6,64.1,47,0,7.4,22.6,7.9,5,15.7,Low
53,18.5,8.3,63.1,38,118.5,9.5,0.2,6.2,1,43.5,Medium
23,28.2,6.4,62.9,39,274.4,8.7,1.7,4.9,2,56.3,Medium
48,27.5,6,76.3,41,145.6,6.7,3.4,8,4,51.9,Medium
36,23.1,8.8,85.2,76,190.2,9,0.8,9.3,5,39.7,Medium
61,27.7,8.2,79.6,75,100.2,8.6,0.7,6.1,0,44.1,Medium
56,23.7,8.3,97,7,170.6,11.3,1.5,8.7,2,81,High
44,22.3,6.3,53.1,78,280.6,10.8,18.2,5.6,1,46.8,Medium
27,26.9,8.7,65.9,25,57.2,7.8,2.4,7.9,4,28.7,Low
43,21,4.1,58.6,11,324.9,7.2,4.2,5.3,5,64.8,Medium
36,24.1,8.7,81.8,42,26.3,11.1,6.1,9.7,3,47.8,Medium
56,22.6,6.9,66.6,50,111.2,9.1,6.8,8.2,4,39.7,Medium
20,23.7,7.2,71.2,90,83.1,7.7,5.8,6.9,1,33,Medium
62,26.7,5.6,77.2,81,128.2,4,2.1,0.9,5,43,Medium
30,22.6,4.3,54.3,99,82.1,6.5,0.6,6.9,1,37.8,Medium
45,24.2,7.2,63.4,62,76,6.3,1.7,3.5,3,30.7,Low
37,23,7.8,79,48,55.1,7.7,1.2,6.7,4,37.7,Medium
45,30.8,8.1,67.4,26,201.5,9.2,0.7,8.6,2,51.1,Medium
25,26.4,7.9,53.6,8,131,9.5,0.1,7.4,2,44.5,Medium
58,25.9,7.6,61.4,38,110,11,13.7,7.7,4,40.3,Medium
56,27.7,5.6,68.5,64,172.6,9.9,12.7,5.3,2,54.2,Medium
18,22.6,8.2,70.5,70,30.4,5.4,0.3,3,5,21.5,Low
20,28.4,5.4,71,89,174.5,10.1,1,4.5,4,52.2,Medium
30,26.4,8.7,64.6,70,142.5,11.5,0.8,5.3,4,37.8,Medium
45,18.8,6.9,76.3,6,145,11.4,1.7,6,1,76.3,High
42,19.3,6.9,65.9,71,191.5,5.6,1.1,8.5,0,45.5,Medium
50,22.7,8.3,70.9,79,281.5,7.6,14.6,7.5,1,37,Medium
55,19.7,8.5,61.7,66,175.8,9.9,0.4,10.4,2,37.7,Medium
23,24,8.2,84.6,9,134,5.7,1.2,4,0,61.4,Medium
61,20.9,5.8,64,70,55.4,4.6,0.4,8.3,4,34.2,Medium
62,24.6,8.1,70.5,84,0,8.6,19.7,7.8,2,19.3,Low
49,30.6,5.8,83.1,52,160.2,6.6,12.5,5.8,3,54.7,Medium
62,24.8,8.2,72.7,100,49.2,4.7,6.3,4.1,2,21.8,Low
64,23.8,4.9,72,94,0,10.5,2.8,4.8,0,54.8,Medium
38,26.6,6.9,51.1,86,121.9,8.3,1.1,4.7,0,29.5,Low
33,22.2,5.8,75.4,56,169.2,7,1.3,9.4,4,51.1,Medium
38,28.4,8.3,72.3,90,209.5,6.1,2.9,7.7,5,26.8,Low
28,27,8.7,76.4,85,234.9,8.3,7.3,7.7,3,34,Medium
54,25.2,7.3,71.9,26,220.1,9,1.5,6.2,4,54.1,Medium
53,25.6,7.2,64.7,53,222.2,8.7,1.9,5.5,3,44.7,Medium
52,33.2,8.1,83,3,32.6,5,4.6,6.7,3,48.6,Medium
36,28.8,8.7,73.9,87,138,9,1.4,6.2,4,29.3,Low
37,33.8,7.1,61.5,22,196.4,9.4,4.4,5.8,2,52.8,Medium
35,27.1,6.3,84.1,47,153.7,7.3,2.4,6.7,1,61.6,Medium
64,19.1,8,52.7,82,137.6,10.1,0.2,3.9,3,27.4,Low
58,24,4.2,78.5,41,152.2,6.3,2.6,6.5,0,73.1,High
31,18.2,8.4,81.5,2,169.6,10.6,12.6,5.8,4,59.5,Medium
32,27.1,5.9,60,90,143.8,8.3,1.7,4.6,5,30,Low
48,28,6.6,70.3,2,82.3,7,1.9,7.3,2,54.7,Medium
18,21.5,8.4,66.1,27,13.8,7.4,0.3,9.6,3,30.7,Low
20,22.4,6.4,67,62,133.7,10,4.8,8.6,5,43.6,Medium
33,25.6,8,88.6,80,154.6,8.5,9.5,5.4,2,45,Medium
40,20.2,8.7,56.7,30,153.7,9.3,2.2,7.3,4,32.3,Low
28,19.9,7.2,64.4,9,226.2,10.1,1.4,7.7,5,56.2,Medium
29,30,7.5,87.5,48,240.4,6.9,15.7,6.2,0,59.1,Medium
27,25.5,6.8,67,85,141.7,8.3,6.8,6,3,33.2,Medium
49,22.8,7.2,59.5,93,142.3,7.6,4.2,6.7,3,23.9,Low
33,18.2,5.3,69.2,20,195.9,10,1.8,11,5,65.3,Medium
25,28.4,6.6,79.8,99,184.1,7.2,1.2,6.5,2,45.3,Medium
55,22.3,5.1,64.7,52,114.6,8.1,6.3,3.5,4,44.2,Medium
29,32.4,5.7,79.2,86,202.7,12.6,3.7,3.9,1,74.6,High
41,28.4,4,57.9,75,138.3,10.6,3.7,5.7,3,55.7,Medium
45,21.8,7.4,55.2,88,140,5.9,0.4,3.5,0,29,Low
25,22.1,9.5,64.1,53,184.7,9.8,3.6,5.7,3,33.2,Medium
45,31.9,6.3,79.4,56,125.9,9.4,8.7,10.5,3,53.9,Medium
53,24.7,8.4,77.5,19,157.6,5.8,14.7,5,1,47.3,Medium
43,22.9,8.7,57.1,48,173.8,7.8,0.6,3.8,1,31.6,Low
25,25.1,5.2,77.3,6,215.4,6.1,5,5.6,4,68.2,High
45,22.9,5.5,70.6,28,209.9,3.2,4.2,5.8,3,59.3,Medium
